iso2,iso3,lat,lon
TZ,TZA,-6.27,34.823
UG,UGA,1.28,32.386
GB,GBR,53.0,-1.6
UA,UKR,49.016,31.388
US,USA,39.622,-98.606
BF,BFA,12.278,-1.74
UY,URY,-32.8,-56.012
UZ,UZB,41.75,63.17
VC,VCT,13.248,-61.194
VE,VEN,7.125,-66.166
VG,VGB,18.483,-64.39
VN,VNM,21.491,105.314
VI,VIR,17.741,-64.785
NA,NAM,-22.133,17.218
WF,WLF,-14.289,-178.131
WS,WSM,-13.652,-172.414
SZ,SWZ,-26.562,31.497
YE,YEM,15.807,48.355
ZM,ZMB,-14.614,26.32
ZW,ZWE,-19.0,29.872
ID,IDN,-0.976,114.252
GP,GLP,16.286,-61.441
AN,ANT,12.123,-68.87
AE,ARE,23.549,54.163
TL,TLS,-8.822,125.878
PN,PCN,-24.366,-128.316
PW,PLW,7.501,134.57
MH,MHL,7.595,168.963
PM,SPM,47.042,-56.325
SH,SHN,-15.953,-5.71
SM,SMR,43.942,12.46
TC,TCA,21.902,-71.95
EH,ESH,24.554,-13.706
RS,SRB,44.032,20.806
VA,VAT,41.904,12.451
SJ,SJM,78.83,18.374
MF,MAF,18.094,-63.041
BL,BLM,18.04,-63.043
GG,GGY,49.459,-2.576
JE,JEY,49.219,-2.129
GS,SGS,-54.209,-36.891
TW,TWN,23.754,120.946
